apartment_name,x,y
개포2차현대아파트(220),14143486.529290225,4506430.637838289
개포6차우성아파트1동~8동,14143904.86793663,4505703.113189906
개포우성3차,14143811.38182826,4506783.098090032
개포자이(12-2),14146105.108804103,4508511.720753398
개포주공1단지,14144430.629891645,4506012.821206791
개포주공3단지,14145073.55561072,4506805.641921166
개포주공4단지,14145519.879977103,4507000.037130266
개포주공5단지,14145202.474713001,4507291.264931273
개포주공6단지,14145553.253560442,4507467.26253245
개포주공7단지,14145553.253560442,4507467.26253245
개포현대200동,14143439.964347225,4506464.122806221
개포현대6차,14142703.29648495,4506208.660596713
경남1,14143606.487173501,4506859.3853756655
경남2차,14143606.487173501,4506859.3853756655
그린빌리지,14143405.744735759,4505273.907989496
뉴현대파크빌,14143676.061855245,4505498.502473041
리치타운,14143183.30612925,4505855.041369909
삼익대청아파트,14145947.669648271,4508214.454012003
상지리츠빌,14144284.868150402,4507248.602267116
새롬(1164-12),14143469.619859572,4505270.625792522
새롬(1164-13),14143485.73892184,4505283.866798574
새롬(1164-14),14143501.869116057,4505297.107821351
성원대치2단지아파트,14145947.669648271,4508214.454012003
시영,14143591.915452164,4506009.033789573
쌍용,14143502.603824694,4506384.44362786
우성8,14144520.743019436,4507372.339903861
"우성9차아파트901동,902동",14143949.139698114,4506902.860118015
우찬현대(1260-4),14143044.64657152,4506163.098609887
주공2,14144757.47504856,4506344.870796252
포이벨리,14143720.756630804,4505471.136250254
포이현대빌라트,14143558.653188307,4505399.347595276
현대,14144251.394379515,4506829.44837171
현대1차101동~106동,14143634.461761538,4506600.616890769
현대2,14143281.02237827,4506574.327963822
현대3,14144361.40030032,4507331.697119873
e-편한세상,14140777.157599654,4509994.714881189
거평프리젠,14140653.759944107,4509925.687740784
경남논현,14141830.106399167,4510530.795782156
그랑디오스,14142344.736405108,4510613.972804254
논현동월드메르디앙,14141377.781912234,4510929.299286684
논현동한화꿈에그린,14140960.779099721,4509989.438547837
논현라폴리움,14141893.068703163,4511002.627491711
논현베르빌,14141219.541256066,4510820.578010613
논현아트빌,14141169.402957413,4510781.956757572
논현웰스톤,14141810.836995315,4511621.467819836
논현파라곤,14142045.064335894,4511354.61002228
논현프라임아파트,14140729.23455887,4509973.79198982
논현한가람빌라트,14141752.739353072,4511667.474600449
동부센트레빌,14141769.12558211,4510485.074663442
동양파라곤,14141822.347430665,4511101.6389256995
동현아파트1~6,14141649.167698834,4511747.951864963
두산위브1단지,14141893.347001892,4510933.116550911
두산위브2단지,14141848.418455403,4510790.980533231
로체샤르캐슬,14141681.450351167,4511442.368912594
리더스빌,14141197.188302312,4510184.131395651
마블하우스,14142291.55908436,4510769.691171393
마일스디오빌,14140793.63288429,4510980.172867216
브라운스톤,14140271.065798659,4510898.157760281
비쥬힐,14140619.56259654,4511113.848763393
삼성빌라트,14141063.538121674,4511341.305204336
세호시티라이프,14140279.993621822,4510492.610635202
신동아(22),14140101.348102998,4511096.895337425
아크로힐스논현,14141914.94298311,4510368.513377277
요진보네르,14140133.096421774,4510862.820169184
우민,14141735.618415382,4511534.675834626
은탑리더스카운티,14140239.874077339,4510877.387438122
이움빌라,14141374.831945729,4510329.977990542
제이빌,14141800.584470209,4511564.696460949
지고하임(101동),14140218.790165786,4510933.804219982
지고하임(102동),14140209.461592462,4510958.293688783
"청학아파트에이동,비동,씨동",14141164.42697617,4511879.714720748
테크노빌라트,14142054.637812104,4510610.534564339
토미빌(228-9),14141342.337786365,4510289.337765407
학동,14141340.322903577,4510800.102553854
한양빌라트,14141062.124364134,4511423.534302272
한양수자인어반게이트,14141308.763827939,4510395.120558787
한진로즈힐,14141712.953767058,4511939.252762862
한화꿈에그린2차,14140997.993205491,4510110.556327015
현대넥서스A동,14141670.229346495,4510657.7157346755
현대인텔렉스,14141619.144832168,4510662.978370955
힐타워,14140151.4975336,4510780.469168551
개포우성1,14144243.078813557,4507785.48267751
개포우성2,14143947.84839202,4507745.595900029
국제,14144362.357647937,4508458.193316361
대우아이빌멤버스(891-26),14143560.768258635,4509681.858165322
대우아이빌명문가(891-23),14143535.376282785,4509744.807637729
대치동우정에쉐르1,14143611.529946435,4509669.397414027
대치동우정에쉐르2(890-42),14143427.830522727,4509637.43172567
대치삼성,14144077.802765574,4508524.629114656
대치아이파크,14143651.193081003,4508335.088264164
"대치우성아파트1동,2동,3동,5동,6동,7동",14145267.819254104,4509064.226872556
대치주성,14144276.964466553,4509254.075581837
대치타워,14144034.17665713,4509274.604144314
대치한신휴플러스,14143320.206839029,4509226.980186045
대치현대,14144364.305739027,4509148.584943077
대치효성,14144387.226422187,4509022.202438526
도성,14144068.88607436,4509191.942898281
동민맥스빌A동,14143750.412143152,4508722.620113393
동민맥스빌B동,14143797.244252924,4508753.0115227215
동양,14143432.594996933,4508993.74659026
래미안대치팰리스,14144032.907614935,4508230.855586717
래미안대치하이스턴,14144862.527252022,4509178.261970712
롯데캐슬,14143861.631446403,4509699.216241097
롯데캐슬리베,14143589.377367768,4508500.888966873
미도맨션3차,14144446.236884255,4508263.75702657
삼성3차,14144268.481921356,4508690.811655199
삼환SOGOOD,14143784.48703928,4508694.122985559
상지리츠빌카일룸(1009-4),14145152.737164523,4509253.163514037
선경1차(1동-7동),14144539.700728726,4507925.655810636
선경2차(8동-12동),14144539.700728726,4507925.655810636
선경3차,14144359.964278888,4508213.976977708
선릉역대우아이빌(890-49),14143316.689143125,4509662.872364363
선릉역풍림아이원레몬,14143305.913416412,4509629.068462461
세연파크뷰,14144087.498693224,4509044.512551129
세영팔레스타운,14144495.941036891,4509138.07522626
신성미소시티,14143832.376684222,4509421.0414547175
쌍용대치2,14145418.323205654,4508957.34903506
"쌍용대치아파트1동,2동,3동,5동,6동",14145500.52151766,4508762.131768942
아름빌(889-74),14143202.642324802,4509504.995466001
우정에쉐르,14144510.880112555,4509998.195017407
은마,14144845.439710189,4508668.5303577855
청원,14143799.97158045,4508824.486403463
테헤란로대우아이빌(891-6),14143588.9988815,4509829.844752571
포스코더샵,14143927.833147574,4509587.589020787
풍림아이원1차101동(910-3),14143650.925914232,4509247.859490542
풍림아이원1차103동(910-5),14143706.18490946,4509272.695814187
풍림아이원2차201동,14143667.412330817,4509212.106513329
풍림아이원2차202동,14143699.583663661,4509227.864188015
풍림아이원3차(1007-1),14144996.099509027,4509686.965955047
풍림아이원4차(1007-2),14144999.35003816,4509628.619428383
풍림아이원아파트,14143678.210321423,4509259.169131182
하이캐슬,14144681.4327044,4509109.50681033
하이캐슬102동,14144631.427989136,4509089.006634526
한보미도맨션1,14145070.839415144,4508102.968881644
한보미도맨션2,14145070.839415144,4508102.968881644
한양팰리스,14144227.07107078,4508916.924604796
한티(933-35),14143954.449637827,4508898.599662794
해암프리존,14144811.832355913,4509479.835852994
현대1,14144841.153909791,4509016.954657935
SK허브프리모,14141406.25743797,4506970.408357168
경남,14142118.33482473,4507471.331065157
그랜빌캐슬,14142562.755627822,4507459.630530527
대림,14142017.189935397,4507144.675004449
대림아크로빌,14143262.175988484,4507364.932439595
대명비발디,14141394.190405171,4507505.352478076
대우디오빌,14141308.808355737,4507134.251471119
도곡1차아이파크,14142386.93762407,4507926.876423672
도곡2차I-PARK,14141706.263465662,4507513.938518086
도곡3차아이파크,14141784.788234469,4507606.828135993
도곡그린빌,14141564.720733117,4507087.56314756
도곡렉슬,14143203.911367003,4508123.509219246
도곡스타클래스,14141556.894972917,4506947.387194984
도곡쌍용예가,14141819.375200253,4507345.712338936
도곡우성아파트,14141707.988917772,4507376.226018833
도곡지웰카운티101동,14142431.487684283,4507119.605231842
도곡푸르지오,14141265.972615678,4507354.256160354
도곡푸르지오102동,14141239.845931191,4507316.349143725
도곡현대힐스테이트102동,14142653.748179603,4507281.795235807
럭키(462),14142728.198655043,4507091.6175039485
럭키(963),14142028.31075253,4507692.367000479
롯데캐슬모닝,14141662.971315693,4507663.115071429
매봉삼성,14143007.488125492,4507509.883998316
삼성,14142734.109720003,4507437.239615783
삼성래미안,14143214.920864638,4507597.175770652
삼익,14142263.005634967,4507754.869597323
삼호,14142699.32237913,4508127.269340051
아카데미스위트1,14143376.21167485,4507442.177958783
우성4,14143083.296698723,4506990.006546661
우성리빙텔,14143427.12920994,4507410.331299076
우성사원5,14142872.85833333,4507063.994601686
우성캐릭터199,14143351.610067386,4507140.227816014
우성캐릭터빌,14143259.29281367,4507219.281431252
울트라멤버스,14142783.35746273,4507309.124098748
원팰리스,14141364.802059602,4507100.960767206
조이너스도곡,14141485.683894653,4507209.910004359
중명하니빌,14141910.824161943,4507056.67152858
타워팰리스1,14143636.164949749,4507379.0739668235
타워팰리스2,14143641.964695219,4507587.495355038
타워팰리스3,14143457.040757116,4507254.9153764825
파크힐,14141697.947899695,4507606.337099751
포스코트,14142876.810175251,4507335.653365999
하이페리온,14141483.758067463,4507455.253355462
한신(개포),14143019.443838809,4507192.752458576
한신엠비씨,14142054.526492614,4507327.909226047
현대그린1,14141958.736070786,4507462.927442443
현대비젼21,14143289.638506856,4507258.675185643
현대아파트1동~3동,14141808.176459488,4507483.452496106
현대파크빌라,14142537.708742399,4507296.6942272
현대향목빌라트,14142670.11214475,4507431.992628895
힐데스하임빌라,14142589.527965363,4507367.289359475
LG선릉에클라트(A),14143238.587388378,4509952.209601058
LG선릉에클라트(B),14143246.969746035,4509897.496059226
SM드림빌,14142679.563169513,4510907.93947356
강변삼부아파트,14144871.599790525,4511426.537732646
골든빌(99-1),14144813.457620483,4511527.181217633
금호어울림,14144787.163956758,4511398.917433443
대우멤버스카운티(101동),14144765.033641983,4511576.162987497
대우멤버스카운티301,14142510.802821469,4510835.860951304
동구싼타빌,14144507.829958502,4511161.004132267
동일파크스위트,14144898.483447548,4511312.267638212
래미안삼성1차(103-22),14144698.130628023,4511436.488356257
래미안삼성1차(105-0),14144558.6807019,4511236.5233364105
래미안삼성1차(201동),14144710.453695651,4511360.729121439
래미안삼성2차,14142412.44091941,4511297.924317228
레미안삼성1차(101동),14144572.784881387,4511312.0851888005
롯데캐슬프레미어,14142558.269452352,4511174.968337305
미켈란107,14144302.567949433,4511121.357118929
블루밍하우스,14143394.924481247,4511476.768128106
삼부아그레빌,14144717.010413658,4511537.763506109
삼부아파트(101동),14144828.240848858,4511416.797639145
삼부아파트102동,14144797.694780584,4511479.027729653
삼성더파크뷰,14142812.667884659,4510505.0723657645
삼성동대성유니드,14143594.89881451,4510224.532649701
삼성동드림하우스,14143091.623396639,4510921.552490031
삼성동라테라스,14144896.668939855,4511215.752343241
삼성동롯데아파트,14142996.589947347,4511525.482999923
삼성동롯데캐슬킹덤,14142897.237301815,4510873.219344651
삼성동브라운스톤레전드,14142293.68528663,4511214.376968117
삼성동신도브래뉴,14143523.064347107,4510489.902175456
삼성동신영지웰,14143014.178426888,4510639.542117726
삼성동씨엘케이,14142517.270483885,4511484.964449083
삼성동에스케이뷰,14144812.533668708,4511329.474035487
삼성동중앙하이츠빌리지,14142723.434180837,4511275.693611974
삼성동한솔아파트,14142642.727550011,4511471.869987296
삼성동헤렌하우스2(82-1),14144371.341130849,4511760.611581633
삼성동힐스테이트 1단지,14142970.77495743,4511320.379622964
삼성리치빌1,14143269.801373605,4511633.790543573
삼성벨라스빌,14142676.735654455,4511043.509066034
삼성아셈,14143699.861962382,4510671.202122541
삼성오네뜨,14143631.155572664,4510379.501461448
삼성파크,14143570.887200344,4510327.578304362
삼성팰리스(71-16),14143514.81557284,4511054.427687205
삼성펠리스,14143636.287401188,4510267.460029937
삼성풍림2차아파트,14144501.406823892,4511298.120800946
상아3,14143245.901078928,4511233.772580897
상아빌라트,14143106.918694671,4510865.107706221
상아아파트,14143141.605848003,4511492.304652935
상지리츠빌카일룸(65-4),14143335.33515783,4511392.040439375
서광아파트,14142335.096137207,4511420.909810081
석탑아파트101동,14142569.646304306,4511480.03823485
시티(A동),14144695.058210071,4511699.348239029
시티(B동),14144729.778759252,4511665.8325001635
쌍용플래티넘,14143347.780676905,4510761.03229369
아셈,14144488.504894909,4511156.779788483
아이파크,14144182.977420475,4511598.506610179
영무예다음,14143403.919096109,4510489.088234318
우림루미아트,14143602.490803782,4510971.752395444
우정에쉐르2,14143681.327267159,4510022.261313634
월성빌라트,14144432.288552057,4511298.331319217
이안애2차,14143570.174755607,4510174.953779252
이안애빌,14143522.80831227,4510237.008094475
진흥아파트,14143379.996537533,4511659.0816461425
채널리저브,14143744.256175306,4510156.023216691
청구아파트,14144073.973375093,4511807.573369382
푸른솔아파트1동,14142707.036819842,4511528.935575062
풍림,14143623.051513735,4510157.805410521
풍림(1차),14144444.344452906,4511216.355824215
한일,14143129.394099858,4510994.403479902
현대2차,14143787.592853073,4511738.92726475
현대빌라트,14143324.737542305,4510724.586496318
현대삼성동1차,14143700.10686526,4511712.709652264
현대아파트101동,14142551.022553492,4511387.324788911
현대타워(13층-27층),14143475.998466399,4509896.962817598
현대힐스테이트2단지,14143309.330924775,4510977.267803689
형우빌라,14143437.938332487,4511508.697325619
호산프라자,14142471.596096817,4510570.117787896
홍실아파트,14144215.727614667,4511834.521053381
강남데시앙파크,14148840.88547789,4503460.5945855975
강남신동아파밀리에1단지,14148764.6093628,4504013.297333956
강남신동아파밀리에2단지,14149015.256328274,4504004.91050772
세곡리엔파크(3단지),14149199.601405028,4503950.396300692
세곡푸르지오,14147924.803992305,4504371.00592483
강남데시앙포레,14147686.168399889,4506366.081029851
까치마을,14147331.348654937,4506890.304470452
동익,14148320.400066737,4506972.919504669
수서한아름,14149106.104164701,4507554.273359025
신동아,14148534.756878208,4507218.341482369
강남상가,14139879.054211836,4511666.379866896
금광아크존(635-14),14141431.54922628,4512758.222918676
뉴현대,14140209.784418982,4512339.213458348
대성아파트,14140288.821257446,4511765.804596221
래미안신사,14139762.057427008,4511856.907333182
로데오현대,14141722.13762505,4512817.35889487
리갈팰리스,14140996.55718406,4512365.123847783
신사동닛시빌라트,14141402.149748769,4512681.0785535835
신사동씨티빌,14139878.052336413,4511987.338189645
신사아이빌(522),14139800.985852938,4511941.765101641
신사아크존2,14140996.75755914,4512525.935320387
신사파크빌A동,14140498.268879373,4511877.51117406
신사파크빌B동,14140530.729642887,4511895.181666613
신성아파트101동,14141129.29454488,4512714.415068109
압구정대원칸타빌아파트,14141720.757263359,4512886.152436249
압구정케이씨씨(622-1),14141188.227083307,4512698.918839313
압구정하이츠파크,14141329.613968562,4512368.632843694
압구정화이트빌,14140813.470017549,4512086.751930591
우찬,14140231.391532142,4512358.007607678
유로미아파트A동,14140138.651264358,4512314.720760219
장자울아파트,14140886.874089781,4512188.089512058
진흥아마란스,14141028.795308594,4512370.990889613
토미,14140890.859327551,4512152.466854336
하야트빌,14140224.088973548,4512097.390927006
한양아파트,14140458.717064288,4512108.24046878
현대아인빌,14140504.5806945,4512366.218654381
미성1차,14139814.36645573,4512583.694429763
미성2차,14139609.638780218,4512392.887055606
신현대11차,14140295.544954684,4512899.487290487
신현대12차,14140261.00251669,4513091.988331048
신현대9차,14140302.090540748,4512712.393819574
한양1차(영동한양),14141897.354503553,4513286.7388653215
한양2,14142086.7089574,4513217.774246439
한양3,14141826.533043515,4513123.95052791
한양4,14141681.762045737,4513369.909705048
한양5,14142261.992627602,4513093.92543111
한양6,14141590.958737094,4513213.282367624
한양7,14142483.729921315,4513120.595685799
